,Feature,Importance
0,order_code,-0.015432162357061973
1,order_placement_month,-0.009374678067374086
2,order_placement_day,-0.015164314412279856
3,order_placement_week_no,-0.01629751725558879
4,customer_id,0.11084784176367568
5,customer_name_code,0.09982486865148858
6,city_code,0.05171525703100852
7,product_id,-0.010652106727104194
8,product_name_code,-0.011332028433089536
9,category_code,-0.005192129391161049
10,order_qty,-0.004182548676213082
11,agreed_delivery_month,-0.009415885443494431
12,agreed_delivery_day,-0.014587411146595276
13,agreed_delivery_week_no,-0.015638199237663585
